selection_rank,source_family_id,annotator_slot,assignment_status
98,doi:10.1083/jcb.201906204,A,unassigned
98,doi:10.1083/jcb.201906204,B,unassigned
99,doi:10.1182/bloodadvances.2025017995,A,unassigned
99,doi:10.1182/bloodadvances.2025017995,B,unassigned
100,doi:10.1371/journal.pone.0024847,A,unassigned
100,doi:10.1371/journal.pone.0024847,B,unassigned
101,doi:10.1371/journal.pone.0058703,A,unassigned
101,doi:10.1371/journal.pone.0058703,B,unassigned
102,doi:10.1371/journal.pone.0073499,A,unassigned
102,doi:10.1371/journal.pone.0073499,B,unassigned
103,doi:10.1371/journal.pone.0080532,A,unassigned
103,doi:10.1371/journal.pone.0080532,B,unassigned
104,doi:10.18632/oncotarget.13610,A,unassigned
104,doi:10.18632/oncotarget.13610,B,unassigned
105,doi:10.1002/advs.202503569,A,unassigned
105,doi:10.1002/advs.202503569,B,unassigned
106,doi:10.1002/advs.202513153,A,unassigned
106,doi:10.1002/advs.202513153,B,unassigned
107,doi:10.1016/j.cell.2017.07.038,A,unassigned
107,doi:10.1016/j.cell.2017.07.038,B,unassigned
108,doi:10.1016/j.devcel.2012.01.002,A,unassigned
108,doi:10.1016/j.devcel.2012.01.002,B,unassigned
109,doi:10.1016/j.isci.2026.114997,A,unassigned
109,doi:10.1016/j.isci.2026.114997,B,unassigned
110,doi:10.1016/j.stem.2018.09.008,A,unassigned
110,doi:10.1016/j.stem.2018.09.008,B,unassigned
111,doi:10.1038/ncb3492,A,unassigned
111,doi:10.1038/ncb3492,B,unassigned
112,doi:10.1038/ncb3559,A,unassigned
112,doi:10.1038/ncb3559,B,unassigned
113,doi:10.1038/ncomms11082,A,unassigned
113,doi:10.1038/ncomms11082,B,unassigned
114,doi:10.1038/s41467-017-01322-9,A,unassigned
114,doi:10.1038/s41467-017-01322-9,B,unassigned
115,doi:10.1038/s41467-020-15813-9,A,unassigned
115,doi:10.1038/s41467-020-15813-9,B,unassigned
116,doi:10.1038/s41467-021-22718-8,A,unassigned
116,doi:10.1038/s41467-021-22718-8,B,unassigned
117,doi:10.1038/s41467-026-70395-2,A,unassigned
117,doi:10.1038/s41467-026-70395-2,B,unassigned
118,doi:10.1038/s41586-018-0444-0,A,unassigned
118,doi:10.1038/s41586-018-0444-0,B,unassigned
119,doi:10.1038/s41598-019-43409-x,A,unassigned
119,doi:10.1038/s41598-019-43409-x,B,unassigned
120,doi:10.1038/s41598-019-50866-x,A,unassigned
120,doi:10.1038/s41598-019-50866-x,B,unassigned
121,doi:10.1038/s41598-024-70759-y,A,unassigned
121,doi:10.1038/s41598-024-70759-y,B,unassigned
122,doi:10.1083/jcb.201207066,A,unassigned
122,doi:10.1083/jcb.201207066,B,unassigned
123,doi:10.1091/mbc.e10-08-0671,A,unassigned
123,doi:10.1091/mbc.e10-08-0671,B,unassigned
124,doi:10.1126/sciadv.abe1969,A,unassigned
124,doi:10.1126/sciadv.abe1969,B,unassigned
125,doi:10.1186/1478-811x-11-80,A,unassigned
125,doi:10.1186/1478-811x-11-80,B,unassigned
126,doi:10.1186/1741-7007-12-6,A,unassigned
126,doi:10.1186/1741-7007-12-6,B,unassigned
127,doi:10.1242/bio.062356,A,unassigned
127,doi:10.1242/bio.062356,B,unassigned
128,doi:10.1242/jcs.264128,A,unassigned
128,doi:10.1242/jcs.264128,B,unassigned
129,doi:10.1371/journal.pone.0065105,A,unassigned
129,doi:10.1371/journal.pone.0065105,B,unassigned
130,doi:10.7150/thno.112299,A,unassigned
130,doi:10.7150/thno.112299,B,unassigned
131,doi:10.1007/s10753-025-02446-7,A,unassigned
131,doi:10.1007/s10753-025-02446-7,B,unassigned
132,doi:10.1038/ncomms15206,A,unassigned
132,doi:10.1038/ncomms15206,B,unassigned
133,doi:10.1038/s41467-017-00418-6,A,unassigned
133,doi:10.1038/s41467-017-00418-6,B,unassigned
134,doi:10.1038/s41467-018-06684-2,A,unassigned
134,doi:10.1038/s41467-018-06684-2,B,unassigned
135,doi:10.1038/s41467-019-09746-1,A,unassigned
135,doi:10.1038/s41467-019-09746-1,B,unassigned
136,doi:10.1038/s41467-019-11325-3,A,unassigned
136,doi:10.1038/s41467-019-11325-3,B,unassigned
137,doi:10.1038/s41598-019-46151-6,A,unassigned
137,doi:10.1038/s41598-019-46151-6,B,unassigned
138,doi:10.1038/s41598-025-27668-5,A,unassigned
138,doi:10.1038/s41598-025-27668-5,B,unassigned
139,doi:10.1083/jcb.202007152,A,unassigned
139,doi:10.1083/jcb.202007152,B,unassigned
140,doi:10.1083/jcb.202403005,A,unassigned
140,doi:10.1083/jcb.202403005,B,unassigned
