priority_score,manifest_id,provider,accession,access_state,gold_candidate_source_count,source_count,target_modality_hints,download_policy,raw_download_status
153,dataset:95b9bd18bd1c9188,GEO,GSE20685,public_metadata_unresolved,1,3,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
153,dataset:ad99fcc7f8043369,GEO,GSE25066,public_metadata_unresolved,2,3,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
153,dataset:fe1b51173efdc802,GEO,GSE41258,public_metadata_unresolved,1,3,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
153,dataset:bee59a2fe1370851,GEO,GSE45436,public_metadata_unresolved,1,3,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
153,dataset:543ad65275fc5cf4,GEO,GSE6532,public_metadata_unresolved,1,3,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
152,dataset:31609b111e15b48c,GEO,GSE121711,public_metadata_resolved,2,2,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
152,dataset:ff3f7eae36317db8,GEO,GSE144735,public_metadata_unresolved,1,2,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
152,dataset:cf35632b4fb84d47,GEO,GSE15471,public_metadata_unresolved,1,2,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
152,dataset:9d05958853612af4,GEO,GSE162669,public_metadata_unresolved,1,2,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
152,dataset:2ad7888c1c3597b9,GEO,GSE17538,public_metadata_unresolved,1,2,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
152,dataset:5de9501e3efa4467,GEO,GSE19783,public_metadata_unresolved,1,2,flow_cytometry;immunofluorescence;omics;pcr;western_blot,metadata_then_manual_file_selection,not_attempted
